MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 8.06.56 PM.csv,1,2026-05-13 20:06:21,-0.07682737,1.490782,14.23888,-0.005493693,-0.9956134,-0.04044081,0.08419231,0.05723222,1.113497,14.00312,-0.1203037,-0.9822987,-0.1424566,0.01795279,-0.3311822,1.185608,14.08106,-0.07119792,-0.9674246,-0.1885195,0.1532345
movementData__5.13.2026 8.06.56 PM.csv,1,2026-05-13 20:06:23,9.902245,1.496815,11.15514,-0.02741214,-0.986176,-0.07114206,-0.1471198,10.0225,1.151193,10.89811,-0.04203448,-0.9757249,-0.2085361,-0.05202632,9.624909,1.523531,10.96145,-0.02241685,-0.8164575,-0.5692976,0.09378175
movementData__5.13.2026 8.06.56 PM.csv,1,2026-05-13 20:06:25,5.241334,1.509732,11.18789,0.008517002,-0.9790333,-0.1239271,-0.1614421,5.461233,1.201047,10.93463,-0.007213112,-0.9696207,-0.2251563,-0.09533253,4.992636,1.772578,10.91663,-0.004634113,-0.8012133,-0.5733504,0.1711875
movementData__5.13.2026 8.06.56 PM.csv,1,2026-05-13 20:06:27,-1.482685,1.495759,11.11151,0.02473034,-0.9791573,-0.08009324,-0.1849987,-1.257089,1.086985,10.95648,0.02082542,-0.9668155,-0.04201832,-0.2511348,-1.635005,1.09751,10.87953,-0.01231628,-0.9990305,-0.02983126,-0.0299411
movementData__5.13.2026 8.06.56 PM.csv,2,2026-05-13 20:06:32,-0.08508782,1.488269,14.25038,0.01609043,-0.9976555,-0.06635225,-0.004687669,0.1208368,1.098718,14.0615,-0.05917006,-0.9875777,-0.1216347,-0.07996336,-0.2687859,1.116747,14.02509,-0.005599696,-0.9941975,-0.07629639,0.07562302
movementData__5.13.2026 8.06.56 PM.csv,2,2026-05-13 20:06:34,10.19974,1.488557,11.7654,0.0002311839,-0.9790778,-0.06589364,-0.1925218,10.40192,1.116035,11.55484,-0.04620927,-0.9786459,-0.1365549,-0.1465255,10.01004,1.200787,11.50519,-0.009606574,-0.9780881,-0.2075723,-0.01284973
movementData__5.13.2026 8.06.56 PM.csv,2,2026-05-13 20:06:36,5.080471,1.648503,12.18232,-0.02237586,-0.9921988,-0.1118438,-0.05031871,5.24534,1.335157,11.91124,0.02133272,-0.9794732,-0.1946477,-0.04784796,4.841976,2.037419,11.92285,-0.04665022,-0.9399349,-0.3180417,0.114872
movementData__5.13.2026 8.06.56 PM.csv,2,2026-05-13 20:06:38,1.036872,1.622292,12.68193,0.03567539,-0.9862121,-0.09875617,0.1279071,1.226946,1.183469,12.5248,0.04002485,-0.9989826,0.01684865,-0.01216181,0.8068174,0.7587571,12.69713,-0.2454937,-0.7934707,0.5386162,0.1415259
movementData__5.13.2026 8.06.56 PM.csv,3,2026-05-13 20:06:42,0.02105407,1.477633,14.3342,-0.02065312,-0.9954246,-0.09160514,0.01765677,0.2153029,1.112608,14.099,-0.03236892,-0.9799,-0.1691898,-0.1006133,-0.2325917,1.171528,14.1377,-0.06397093,-0.969667,-0.1713181,0.1621842
movementData__5.13.2026 8.06.56 PM.csv,3,2026-05-13 20:06:44,8.644465,1.489622,19.01718,-0.01147857,-0.9921466,-0.08225565,-0.09352765,8.833464,1.162774,18.74095,-0.0007301122,-0.9768217,-0.2007255,-0.07435227,8.500075,1.736949,19.22494,-0.05899809,-0.2398594,-0.9015334,0.3552806
movementData__5.13.2026 8.06.56 PM.csv,3,2026-05-13 20:06:46,1.150277,1.480495,14.82942,-0.01034913,-0.981735,-0.07258002,-0.1755605,1.361506,1.053996,14.62997,-0.04587321,-0.9740718,-0.09970681,-0.1978342,0.8774406,1.014884,14.58367,-0.2356453,-0.971255,0.02351549,0.02412494
movementData__5.13.2026 8.06.56 PM.csv,4,2026-05-13 20:06:52,-0.01275038,1.478172,14.31977,0.007180648,-0.9977434,-0.06647278,0.006165725,0.2164751,1.099041,14.12989,-0.04687888,-0.9811084,-0.1471491,-0.1165151,-0.2886723,1.249137,14.1584,-0.03251227,-0.9351628,-0.28825,0.2032869
movementData__5.13.2026 8.06.56 PM.csv,4,2026-05-13 20:06:54,9.309149,1.487174,15.54049,0.008987442,-0.9922016,-0.07535569,-0.09887809,9.526971,1.137768,15.28458,-0.1189751,-0.978947,-0.1474112,-0.07601085,9.131723,1.776372,15.69719,0.004426084,-0.3543895,-0.8925259,0.2789014
movementData__5.13.2026 8.06.56 PM.csv,4,2026-05-13 20:06:56,6.096045,1.491133,15.5556,-0.008902434,-0.9860475,-0.1388577,-0.09137612,6.309168,1.047189,15.35447,-0.09207568,-0.9822814,-0.1010706,-0.1281801,5.635918,0.7605362,15.20645,-0.0222871,-0.8052574,0.54212,0.2391019
