MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.43.42 PM.csv,1,2026-05-13 17:43:12,-0.1165538,1.554505,14.35198,-0.008901837,-0.9852975,-0.04913555,0.163387,-0.02573805,1.189132,14.16119,-0.1613721,-0.9104404,-0.1414273,0.3536322,-0.3667603,1.21849,14.22076,-0.05085757,-0.9425365,-0.2025224,0.2608126
movementData__5.13.2026 5.43.42 PM.csv,1,2026-05-13 17:43:14,-6.795415,1.55252,16.69307,-0.05202143,-0.9867156,-0.0243097,0.151971,-6.712355,1.207309,16.53666,-0.147229,-0.8401806,-0.2696535,0.4468861,-6.964408,1.538782,16.84368,-0.1801057,-0.3347117,-0.9096746,0.1673985
movementData__5.13.2026 5.43.42 PM.csv,1,2026-05-13 17:43:16,-12.93798,1.577703,15.07344,-0.06998505,-0.9893998,-0.1120946,0.06020742,-12.84511,1.213181,14.95657,-0.1587893,-0.801738,-0.2851681,0.500681,-13.00321,1.155546,14.92064,-0.4976849,-0.6942568,-0.07090205,-0.5150632
movementData__5.13.2026 5.43.42 PM.csv,1,2026-05-13 17:43:18,-2.518541,1.558421,21.486,-0.02374127,-0.9877043,-0.04112015,-0.1489489,-2.431871,1.197049,21.38607,-0.2730868,-0.8756846,-0.2589172,0.302592,-2.687254,1.219071,21.3388,-0.08899512,-0.9423794,-0.2390832,-0.2164259
movementData__5.13.2026 5.43.42 PM.csv,2,2026-05-13 17:43:22,-0.04794114,1.543239,14.34074,-0.03119258,-0.9977414,-0.04664504,-0.03692313,0.06518142,1.175306,14.25492,-0.2526331,-0.9228414,-0.1356323,0.2571852,-0.2029798,1.209551,14.21171,0.101503,-0.9765733,-0.1858594,-0.03818455
movementData__5.13.2026 5.43.42 PM.csv,2,2026-05-13 17:43:24,6.802543,1.567563,24.80056,-0.02404695,-0.9941323,-0.08796804,-0.05817503,6.922121,1.217573,24.68203,-0.2483484,-0.8657327,-0.2750923,0.3363842,6.610482,1.537682,24.76406,0.02923938,-0.6208041,-0.7833881,-0.007104602
movementData__5.13.2026 5.43.42 PM.csv,2,2026-05-13 17:43:26,6.328757,1.568631,19.44675,-0.02535287,-0.9976283,-0.06370454,-0.006058187,6.549963,1.243035,19.4754,-0.2280132,-0.8119069,-0.3913788,0.3682931,6.502135,1.080474,19.37924,-0.3218976,-0.2891975,-0.01046932,-0.9014639
movementData__5.13.2026 5.43.42 PM.csv,2,2026-05-13 17:43:28,4.800017,1.558747,19.00155,-0.03307454,-0.9975407,-0.04122051,-0.0460396,4.981202,1.225587,18.97382,-0.2872381,-0.8084631,-0.3357889,0.3887512,4.788852,1.22759,18.89925,0.08197538,-0.7546528,-0.2890479,-0.5832929
movementData__5.13.2026 5.43.42 PM.csv,3,2026-05-13 17:43:33,-0.1252691,1.539671,14.31097,-0.02016493,-0.9831847,-0.04893314,0.1747764,0.04384703,1.202715,14.23604,-0.3411057,-0.8410658,-0.2568726,0.3320719,-0.3345424,1.384071,14.29137,-0.06727256,-0.8717438,-0.4566008,0.1644776
movementData__5.13.2026 5.43.42 PM.csv,3,2026-05-13 17:43:35,-8.159949,1.532107,18.14259,-0.02854428,-0.9888764,-0.03326261,0.1421348,-7.967777,1.246067,18.02369,-0.3409528,-0.7476419,-0.2370498,0.5182569,-8.277169,1.402789,18.32533,-0.1732948,-0.4666866,-0.8487793,0.1781749
movementData__5.13.2026 5.43.42 PM.csv,3,2026-05-13 17:43:37,-7.382741,1.551566,20.06756,-0.0761381,-0.9870026,-0.02647818,0.1390251,-7.206908,1.212492,19.9776,-0.3909258,-0.7872092,-0.272291,0.391582,-7.496999,1.190998,19.92673,0.144847,-0.9298341,-0.2876204,-0.1780516
movementData__5.13.2026 5.43.42 PM.csv,4,2026-05-13 17:43:42,-0.1903494,1.524773,14.34941,-0.06196247,-0.9268344,0.009469159,0.3702013,0.06853589,1.199203,14.2409,-0.2961229,-0.8969369,-0.2372889,0.2269568,-0.3177118,1.218939,14.24026,-0.04250664,-0.9453905,-0.2640574,0.1862896
