MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 8.04.16 PM.csv,1,2026-05-13 20:03:20,-0.04759372,1.487477,14.31828,0.01121998,-0.9959931,-0.06219283,-0.06327625,0.1872735,1.124249,14.12349,-0.0292339,-0.9612937,-0.2087226,-0.1774675,-0.2924065,1.224402,14.07602,0.01138874,-0.9629644,-0.2156874,0.1613967
movementData__5.13.2026 8.04.16 PM.csv,1,2026-05-13 20:03:22,-3.585578,1.488595,13.09536,0.0188333,-0.9980412,-0.05950011,-0.004333372,-3.446239,1.190957,12.79476,0.004169082,-0.9614417,-0.2746141,-0.01412853,-3.883145,1.72355,13.23847,-0.1543644,-0.4865496,-0.7563342,0.4091451
movementData__5.13.2026 8.04.16 PM.csv,1,2026-05-13 20:03:24,-9.570938,1.493842,11.21497,-0.002869918,-0.995528,-0.08013901,-0.04993385,-9.420082,1.174953,10.91147,-0.00442225,-0.9702308,-0.2292969,-0.07781778,-9.867146,1.735099,11.32411,-0.162082,-0.5368614,-0.7305764,0.3895732
movementData__5.13.2026 8.04.16 PM.csv,1,2026-05-13 20:03:26,-6.380338,1.645143,14.19912,0.0223383,-0.9554985,-0.08787212,-0.2807173,-6.137065,1.353186,13.97722,-0.06273771,-0.9327213,-0.2743635,-0.2254321,-6.598845,1.962398,14.28917,0.105085,-0.5012677,-0.8512924,0.1139701
movementData__5.13.2026 8.04.16 PM.csv,2,2026-05-13 20:03:36,-0.05649,1.487307,14.3164,0.009421566,-0.9977236,-0.06424817,-0.01819486,0.1419216,1.130203,14.10658,-0.04797772,-0.9690055,-0.2162542,-0.1093645,-0.3033375,1.134294,14.1177,0.02599961,-0.976195,-0.07515994,0.201788
movementData__5.13.2026 8.04.16 PM.csv,2,2026-05-13 20:03:38,-3.195676,1.486983,23.98075,0.01565362,-0.9968221,-0.05874832,-0.05147307,-2.999029,1.124632,23.77944,-0.05689828,-0.9683303,-0.2236913,-0.09519049,-3.442508,1.128624,23.78572,0.02735635,-0.9777137,-0.0617525,0.1987818
movementData__5.13.2026 8.04.16 PM.csv,3,2026-05-13 20:03:47,-0.06336125,1.482782,14.30355,0.01153675,-0.9982215,-0.0498924,-0.03052107,0.1036864,1.137948,14.0796,-0.1009087,-0.972049,-0.2007778,-0.06801864,-0.2968507,1.15203,14.10377,0.0109814,-0.9700296,-0.1529291,0.1885064
movementData__5.13.2026 8.04.16 PM.csv,3,2026-05-13 20:03:49,-8.841541,1.485038,23.99955,0.001268002,-0.997955,-0.05086709,0.03868879,-8.696583,1.142054,23.76913,-0.02440315,-0.9636375,-0.2653022,-0.02054418,-9.187676,1.449306,23.91871,-0.100455,-0.7364523,-0.5796883,0.3339286
movementData__5.13.2026 8.04.16 PM.csv,3,2026-05-13 20:03:51,-14.3224,1.491162,16.00264,-0.00116853,-0.9584969,-0.07579113,-0.2748419,-14.18221,1.175139,15.74069,0.08982047,-0.955162,-0.2645071,-0.09815241,-14.62533,1.541821,15.87451,-0.05886973,-0.7049379,-0.6817225,0.1866853
movementData__5.13.2026 8.04.16 PM.csv,3,2026-05-13 20:03:53,-13.12794,1.656143,11.19514,0.01874953,-0.9536545,-0.1114257,-0.2788831,-12.89022,1.333218,11.00559,-0.012151,-0.9397601,-0.2352684,-0.2476936,-13.16779,1.930828,10.96095,0.06948177,-0.8071805,-0.5851622,0.03488861
movementData__5.13.2026 8.04.16 PM.csv,3,2026-05-13 20:03:55,-6.500074,1.638163,11.40911,0.07291009,-0.9704341,-0.04760097,-0.2251129,-6.214209,1.31596,11.27718,-0.005798176,-0.9408374,-0.179756,-0.287192,-6.607423,1.322667,11.14272,0.1042736,-0.9802334,-0.1589148,-0.05491436
movementData__5.13.2026 8.04.16 PM.csv,4,2026-05-13 20:03:59,-0.05263782,1.479753,14.20888,0.03825298,-0.9965901,-0.06050539,-0.04103764,0.1600656,1.12886,14.03452,-0.06030098,-0.9737575,-0.1820133,-0.1226021,-0.215038,1.153131,13.97468,0.05061775,-0.9846972,-0.1492284,0.07443252
movementData__5.13.2026 8.04.16 PM.csv,4,2026-05-13 20:04:01,-7.810326,1.480291,11.08127,0.02903273,-0.9854195,-0.05931964,-0.1568016,-7.608223,1.128578,10.90272,0.008608487,-0.973412,-0.1824521,-0.1382253,-7.989774,1.165544,10.84025,0.03406121,-0.9817554,-0.1812222,0.04641842
movementData__5.13.2026 8.04.16 PM.csv,4,2026-05-13 20:04:03,-17.38468,1.507167,11.09666,-0.004448682,-0.9503825,-0.1132096,-0.2897185,-17.15075,1.162588,10.97404,0.00161729,-0.9466093,-0.176637,-0.2696807,-17.32987,1.884319,10.76686,0.02488667,-0.9043288,-0.4259589,-0.01136556
movementData__5.13.2026 8.04.16 PM.csv,4,2026-05-13 20:04:05,-17.99513,1.506664,11.08066,0.06917569,-0.9431387,-0.110289,-0.3058438,-17.72758,1.125811,10.99628,0.0369946,-0.9383386,-0.1122659,-0.3248823,-18.04827,1.140988,10.76802,0.0578299,-0.9878659,-0.06683806,-0.1277084
movementData__5.13.2026 8.04.16 PM.csv,5,2026-05-13 20:04:11,-0.04148391,1.495087,14.24996,0.01434243,-0.9926122,-0.0713969,-0.09704516,0.2554765,1.167774,14.09614,-0.00518334,-0.9255447,-0.2280126,-0.3022423,-0.2624648,1.236454,13.98162,0.08938728,-0.9673888,-0.2156439,0.09831879
movementData__5.13.2026 8.04.16 PM.csv,5,2026-05-13 20:04:13,-8.696964,1.492032,11.13634,0.01332961,-0.9837248,-0.05961284,-0.1689796,-8.417985,1.163934,10.97679,0.04777163,-0.9369376,-0.1878585,-0.290818,-8.91569,1.265262,10.87291,0.04179152,-0.9550641,-0.2836272,0.07524385
movementData__5.13.2026 8.04.16 PM.csv,5,2026-05-13 20:04:15,-17.31406,1.506724,11.16986,0.00993043,-0.9262012,-0.09424939,-0.3649245,-17.05623,1.164334,11.03176,0.05135074,-0.9378093,-0.1713172,-0.297535,-17.33511,1.889979,10.82484,0.09591492,-0.9115365,-0.3889498,-0.09284259
