MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 8.05.50 PM.csv,1,2026-05-13 20:05:34,-0.06821316,1.488616,14.26552,0.005491659,-0.9929367,-0.07213148,-0.0940403,0.1342867,1.086248,14.09086,-0.0250215,-0.9753857,-0.1542483,-0.1555767,-0.2128281,1.126594,14.03019,0.01378336,-0.9907885,-0.1346972,0.002201429
movementData__5.13.2026 8.05.50 PM.csv,1,2026-05-13 20:05:36,-8.425552,1.486425,11.11562,-0.0007176353,-0.9904581,-0.06179979,-0.1231788,-8.220527,1.078228,10.93817,-0.00156033,-0.97674,-0.1230925,-0.1755699,-8.581755,1.150114,10.88548,-0.006294446,-0.9794487,-0.1963036,-0.04588722
movementData__5.13.2026 8.05.50 PM.csv,1,2026-05-13 20:05:38,-13.33356,1.50716,12.27391,0.004759822,-0.9140746,-0.1107165,-0.3901114,-13.10662,1.07231,12.12614,-0.05350337,-0.9597763,-0.09129012,-0.2600636,-13.18463,1.743917,11.87289,0.120077,-0.9029585,-0.3786207,-0.1639934
movementData__5.13.2026 8.05.50 PM.csv,1,2026-05-13 20:05:40,-13.97828,1.489524,11.25497,0.01925257,-0.4383649,-0.06059354,-0.8965456,-13.72248,1.128245,11.20657,0.02720404,-0.8286652,-0.1402743,-0.5411997,-13.81747,1.15582,10.91721,0.03820432,-0.8420354,-0.1023343,-0.5282468
movementData__5.13.2026 8.05.50 PM.csv,2,2026-05-13 20:05:47,-0.08619786,1.498943,14.24621,-0.01901131,-0.9493658,-0.0865513,0.3014167,0.007411517,1.103485,13.98706,-0.0455064,-0.9791776,-0.1663116,0.1071488,-0.3820945,1.180752,14.10443,0.004062802,-0.9363851,-0.1369641,0.3231212
movementData__5.13.2026 8.05.50 PM.csv,2,2026-05-13 20:05:49,-5.672915,1.512924,16.58282,-0.06161694,-0.9697689,-0.129901,0.1971736,-5.607868,1.121426,16.31756,-0.06845526,-0.972474,-0.1469332,0.1673884,-6.056944,1.815602,16.254,-0.04500419,-0.9031828,-0.2521783,0.3444439
