MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.27.05 PM.csv,1,2026-05-13 17:26:40,-0.03487434,1.451879,14.3541,-0.03968811,-0.9881282,-0.1480156,0.01090193,0.01912069,0.9014508,13.98002,-0.1100482,0.9811129,-0.1527077,0.04457907,-0.1919512,1.395984,13.87613,-0.1266707,0.9514487,0.2690698,-0.07938076
movementData__5.13.2026 5.27.05 PM.csv,1,2026-05-13 17:26:42,-0.007306874,1.450274,14.29562,-0.060162,-0.9948521,-0.08028555,0.01428798,0.04923831,0.8594046,13.9786,-0.1151956,0.9699773,-0.1994044,0.07817856,-0.1747355,1.329109,13.67546,-0.08541078,0.9910593,0.01753286,-0.1009908
movementData__5.13.2026 5.27.05 PM.csv,1,2026-05-13 17:26:44,-0.01357258,1.41859,14.4065,-0.05364949,-0.9926252,-0.1086887,0.001946681,0.01805203,0.9184603,13.99576,-0.1554075,0.9838497,-0.0867475,0.0190567,-0.1907532,1.366531,14.19706,-0.1750576,0.7020702,0.6901354,0.01286042
movementData__5.13.2026 5.27.05 PM.csv,2,2026-05-13 17:26:48,-0.04049573,1.428602,14.33749,-0.02678244,-0.9974389,-0.06455264,0.01520955,-0.005984578,0.9775532,14.0007,-0.1302854,0.9900613,0.02038464,0.0488755,-0.1856253,1.276569,14.14738,-0.1420084,0.8214397,0.5514997,-0.03030603
movementData__5.13.2026 5.27.05 PM.csv,2,2026-05-13 17:26:50,-0.06224032,1.41211,14.32993,-0.05893691,-0.9956756,-0.07179227,-0.001594779,-0.01786525,1.010283,13.95782,-0.1525771,0.9837528,0.07299352,0.06018891,-0.256885,1.404574,14.24226,-0.2020365,0.4203276,0.8719407,0.1490816
movementData__5.13.2026 5.27.05 PM.csv,2,2026-05-13 17:26:52,-0.2000296,1.575534,15.51055,-0.03550601,-0.9732385,-0.0655936,0.2173566,-0.1394987,1.112001,15.18931,-0.1872733,0.9802342,0.0100432,-0.06299842,-0.4446672,1.548253,15.50592,-0.08193997,0.4190608,0.9018369,0.06606176
movementData__5.13.2026 5.27.05 PM.csv,3,2026-05-13 17:27:00,-0.07149156,1.433616,14.29429,-0.05068822,-0.997709,-0.04479203,-0.001059272,-0.01113346,0.9719023,13.95197,-0.0356003,0.9944232,-0.04074118,0.09052771,-0.2901579,1.226248,14.11745,-0.1778784,0.8209395,0.5347688,-0.09186948
movementData__5.13.2026 5.27.05 PM.csv,3,2026-05-13 17:27:02,3.954782,1.431897,11.17585,-0.04608753,-0.9983632,-0.03339584,0.00561969,4.015369,0.9867266,10.82182,0.00391082,0.9942801,-0.08344866,0.06654456,3.72098,1.218199,11.00316,-0.2130118,0.8357679,0.4932123,-0.1134004
movementData__5.13.2026 5.27.05 PM.csv,4,2026-05-13 17:27:05,-0.05541574,1.430642,14.29463,-0.07463393,-0.9935929,-0.02154145,0.08209075,0.007358316,0.9815197,13.95496,0.01674588,0.9942317,-0.09430322,0.04826858,-0.2701159,1.090808,13.97488,-0.1394023,0.9735843,0.1053067,-0.1470072
