MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.34.30 PM.csv,1,2026-05-13 17:33:50,0.08088731,1.338694,14.30436,0.03703701,0.9989058,-0.02825185,0.004168252,0.1774095,1.084159,13.95146,0.09108415,0.9933169,0.06336772,0.03177756,-0.1049466,0.9908701,14.13668,-0.0141917,0.9796861,-0.08888087,-0.1792038
movementData__5.13.2026 5.34.30 PM.csv,1,2026-05-13 17:33:52,0.05135446,1.343754,14.3243,-0.004534848,0.9988679,-0.03489307,0.03201332,0.217983,1.364039,14.52924,0.04024112,0.2494284,0.9673007,-0.02226289,-0.09062231,0.9803529,14.12283,-0.04737713,0.9841243,-0.108841,-0.1319411
movementData__5.13.2026 5.34.30 PM.csv,2,2026-05-13 17:33:56,0.04886575,1.331894,14.30154,0.01927198,0.9964317,-0.06933165,0.04410833,0.1712435,1.076211,13.89147,0.03831979,0.9947206,0.05331531,0.07886735,-0.1001362,0.9658712,14.1239,-0.03372618,0.9850178,-0.1315947,-0.1062325
movementData__5.13.2026 5.34.30 PM.csv,2,2026-05-13 17:33:58,-0.01167104,1.340611,14.31855,-0.04563411,0.998787,-0.0048091,-0.0178604,0.2162981,1.371826,14.5166,0.06946204,0.2133443,0.9740415,-0.0300403,-0.1093161,0.9637108,14.10508,-0.08539086,0.9854007,-0.1096835,-0.09830258
movementData__5.13.2026 5.34.30 PM.csv,2,2026-05-13 17:34:00,-0.03276861,1.369464,14.26199,0.01005613,0.9927557,0.08605357,-0.08324574,0.2010739,1.354464,13.89562,0.06986136,0.9788277,0.1874451,-0.04335961,-0.05183779,0.9218606,14.1373,-0.1611116,0.962571,-0.205935,0.07135004
movementData__5.13.2026 5.34.30 PM.csv,2,2026-05-13 17:34:02,0.04815713,1.356173,14.33887,0.0543267,0.9966345,0.04797269,0.03829973,0.2722083,1.161988,14.16991,0.1159816,0.9156276,0.2922527,0.250525,-0.1048108,1.150338,14.08918,-0.1979698,0.9666947,0.1170348,-0.1123043
movementData__5.13.2026 5.34.30 PM.csv,3,2026-05-13 17:34:07,0.008883614,1.337505,14.24279,0.01496036,0.9989355,-0.04313888,0.006569605,0.08502077,1.141482,13.82188,0.07367506,0.9957477,0.04732547,0.02861623,-0.1531906,0.9225784,14.11052,-0.1133021,0.9293878,-0.2780406,-0.2146961
movementData__5.13.2026 5.34.30 PM.csv,3,2026-05-13 17:34:09,-0.01146417,1.324821,14.22916,-0.00568567,0.9727211,0.01954123,-0.2310832,0.3177676,1.521248,14.37253,0.1477448,0.4883535,0.8588951,0.04451679,-0.07917602,0.8719696,14.07201,-0.1651183,0.9157907,-0.3026877,-0.2060184
movementData__5.13.2026 5.34.30 PM.csv,3,2026-05-13 17:34:11,-0.193179,1.351959,14.13723,-0.002747146,0.9595625,0.02824948,-0.280061,-0.2331454,1.078086,13.64814,-0.03471657,0.9506797,-0.1919261,-0.2411787,-0.2180096,0.9196473,14.07484,-0.3854667,0.9075716,-0.1403292,-0.08964925
movementData__5.13.2026 5.34.30 PM.csv,4,2026-05-13 17:34:17,0.1033226,1.351944,14.28378,0.03518583,0.9991805,-0.003992134,0.01960761,0.1820517,1.150037,13.88611,0.08460344,0.9959216,0.01910889,-0.02484597,-0.04086785,0.9059916,14.15767,-0.1876363,0.9249242,-0.2941688,-0.1509058
movementData__5.13.2026 5.34.30 PM.csv,4,2026-05-13 17:34:19,0.1104519,1.343248,14.2525,-0.01965841,0.9606274,0.01572109,0.2766973,0.2654129,1.486869,14.51979,-0.06400464,0.4438086,0.893326,0.03010013,0.0259178,0.9017839,14.05641,-0.1415103,0.9372599,-0.3182935,0.01442069
movementData__5.13.2026 5.34.30 PM.csv,4,2026-05-13 17:34:21,0.07280236,1.336693,14.23623,0.01868358,0.9834298,-0.04162595,0.1754537,0.2532204,1.272841,14.02939,-0.01294265,0.8396664,0.4907229,0.2323442,0.01774984,1.128973,14.087,-0.1016481,0.9211343,0.372301,0.05070867
movementData__5.13.2026 5.34.30 PM.csv,5,2026-05-13 17:34:28,-0.02878132,1.33966,14.46847,0.06809652,0.8882038,-0.02674158,-0.4535877,0.07506928,1.150597,14.07953,0.03684815,0.9950184,0.01287872,-0.09173231,-0.05693434,0.8867995,14.30837,-0.04610843,0.9516804,-0.2771346,-0.1239955
movementData__5.13.2026 5.34.30 PM.csv,5,2026-05-13 17:34:30,-0.07990478,1.359875,14.34355,0.01718768,0.9609928,0.03440764,-0.2738862,-0.2175729,1.306731,13.82564,-0.04581985,0.9886312,-0.06321634,-0.1285017,-0.1605876,0.9015322,14.29755,-0.2906963,0.9384162,-0.1049446,-0.1544584
