MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.44.51 PM.csv,1,2026-05-13 17:43:53,-0.1294024,1.555559,14.35942,-0.03005848,-0.9653636,-0.05228197,0.2538432,-0.02025071,1.184896,14.18833,-0.1546248,-0.9237499,-0.09825146,0.336339,-0.3671426,1.228289,14.21452,-0.05317276,-0.9579776,-0.07451785,0.2718433
movementData__5.13.2026 5.44.51 PM.csv,1,2026-05-13 17:43:55,-3.926782,1.561854,23.90642,-0.04620007,-0.9849358,-0.0390428,0.1619963,-3.823233,1.217565,23.74818,-0.2428576,-0.8715395,-0.1258702,0.4069346,-4.127451,1.445525,24.0392,-0.1588706,-0.5284477,-0.7710744,0.3177223
movementData__5.13.2026 5.44.51 PM.csv,1,2026-05-13 17:43:57,8.361639,1.559063,23.56718,-0.04501916,-0.9941378,-0.04343408,0.0881865,8.491487,1.217386,23.42321,-0.3433593,-0.8397382,-0.2195055,0.3588334,8.137863,1.437301,23.653,-0.1149304,-0.6089144,-0.7364734,0.2713323
movementData__5.13.2026 5.44.51 PM.csv,1,2026-05-13 17:43:59,12.68227,1.566327,11.3291,-0.04701586,-0.9712924,-0.03255847,0.2309123,12.85288,1.221112,11.18252,-0.2716668,-0.8611912,-0.2287633,0.363613,12.5146,1.430691,11.40845,-0.1112184,-0.5448456,-0.7852745,0.2722457
movementData__5.13.2026 5.44.51 PM.csv,1,2026-05-13 17:44:01,14.17755,1.571401,15.1036,-0.03233134,-0.9900909,-0.07748307,0.1125666,14.32016,1.232245,14.96583,-0.2814596,-0.8806199,-0.2436589,0.2931201,13.99851,1.334839,14.99389,-0.04129439,-0.9079233,-0.408159,-0.0858858
movementData__5.13.2026 5.44.51 PM.csv,2,2026-05-13 17:44:07,-0.1050622,1.561581,14.37452,-0.06250545,-0.9619793,-0.03934007,0.2629474,-0.02258263,1.222697,14.20311,-0.2264732,-0.8779846,-0.2006499,0.3709348,-0.3486783,1.441526,14.41585,-0.3013381,-0.6893591,-0.5424405,0.3738151
movementData__5.13.2026 5.44.51 PM.csv,2,2026-05-13 17:44:09,-6.435365,1.566201,15.66924,-0.0417788,-0.9828922,-0.05712175,0.1700429,-6.193401,1.243035,15.64894,-0.246438,-0.8212371,-0.4708052,0.207799,-6.264005,1.028278,15.50835,-0.3667389,-0.5618149,-0.1751053,-0.7205586
movementData__5.13.2026 5.44.51 PM.csv,2,2026-05-13 17:44:11,-0.5059584,1.562542,19.81265,-0.03074258,-0.9889721,-0.04073096,0.1390332,-0.3049103,1.223375,19.70429,-0.2736106,-0.9216675,-0.2463754,0.1223337,-0.6386064,1.224771,19.62484,0.07652046,-0.9620681,-0.2616614,0.01014473
movementData__5.13.2026 5.44.51 PM.csv,3,2026-05-13 17:44:15,-0.1381659,1.555784,14.44287,-0.005356058,-0.9915822,-0.07263957,0.1070492,-0.2573572,1.424805,14.3545,-0.1026173,-0.7347693,-0.4488351,0.4981273,-0.3113554,1.434619,14.49987,-0.2208474,-0.5586454,-0.6762462,0.4264186
movementData__5.13.2026 5.44.51 PM.csv,3,2026-05-13 17:44:17,-6.667786,1.575186,20.7253,-0.05315151,-0.9727798,-0.1045926,0.1998373,-6.465034,1.284625,20.67728,-0.2105294,-0.8083868,-0.427756,0.3452725,-6.535228,0.882873,20.50578,-0.6026242,-0.2311162,0.3067064,-0.6995432
