MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.53.28 PM.csv,1,2026-05-13 17:52:47,0.02353861,1.297944,14.25924,-0.01115923,0.9977024,0.05426093,-0.03900331,0.09620229,0.9531198,14.08274,-0.2191931,-0.9578964,-0.0539724,0.1774149,-0.2600036,1.190436,14.30575,0.02652613,-0.893141,-0.4069295,0.1897472
movementData__5.13.2026 5.53.28 PM.csv,1,2026-05-13 17:52:49,6.385072,1.299946,15.69805,-0.001885894,0.9473088,0.06637895,-0.3133629,6.467661,0.9496979,15.51271,-0.2614798,-0.9320619,-0.05181837,0.2453648,6.109096,1.215358,15.84949,-0.05236128,-0.6257361,-0.5754809,0.5239603
movementData__5.13.2026 5.53.28 PM.csv,1,2026-05-13 17:52:51,12.34502,1.29959,11.13291,0.02918778,0.8804504,0.05898224,-0.469549,12.41385,0.928671,10.93636,-0.3909892,-0.8662605,0.07643718,0.301459,12.11229,1.246038,11.28707,-0.1687693,-0.6243193,-0.5778297,0.4978507
movementData__5.13.2026 5.53.28 PM.csv,1,2026-05-13 17:52:53,15.84786,1.452327,11.12144,0.03131472,0.9096372,0.06449754,-0.4091696,15.90351,1.072445,10.96225,-0.4474141,-0.7844265,0.2075995,0.3760295,15.6876,1.44002,11.23606,-0.2632315,-0.5093247,-0.7699797,0.2800516
movementData__5.13.2026 5.53.28 PM.csv,2,2026-05-13 17:53:07,0.01212012,1.301576,14.26606,-0.02522497,0.9967673,0.06333611,-0.0425115,0.1123867,0.9589161,14.08292,-0.1745901,-0.9766912,-0.094066,0.08212323,-0.2186158,1.119181,14.17708,0.1385873,-0.8895764,-0.4262827,0.08792373
movementData__5.13.2026 5.53.28 PM.csv,2,2026-05-13 17:53:09,-5.243095,1.299882,14.87164,-0.005533684,0.9372434,0.06375347,-0.3427533,-5.139376,0.9680876,14.68512,-0.0667161,-0.9619381,-0.2243311,0.1410657,-5.468148,1.180369,14.86975,-0.02097155,-0.7080298,-0.6044201,0.3645962
movementData__5.13.2026 5.53.28 PM.csv,3,2026-05-13 17:53:15,-9.201653E-05,1.308852,14.28204,0.006836628,0.9790267,0.1243354,-0.1612474,0.08812165,0.9497917,14.0963,-0.1454344,-0.9832397,-0.09203932,0.06014434,-0.2424618,1.119406,14.22038,0.02027254,-0.8644175,-0.4162903,0.2812008
movementData__5.13.2026 5.53.28 PM.csv,3,2026-05-13 17:53:17,-7.81657,1.304533,14.3535,0.02463852,0.9781407,0.05515821,-0.1989759,-7.778807,0.9240951,14.16384,-0.08143017,-0.9746996,-0.01838052,0.2073452,-8.028419,1.588822,13.94926,-0.0165724,-0.9993045,0.01936782,0.02721727
movementData__5.13.2026 5.53.28 PM.csv,3,2026-05-13 17:53:19,-8.624607,1.311114,21.55473,0.003419068,0.9925068,0.1221063,-0.002946971,-8.573178,0.959841,21.42291,-0.1685411,-0.9624739,-0.145829,0.1548283,-8.855133,1.271917,21.59661,-0.04829627,-0.6061527,-0.7544097,0.2472093
movementData__5.13.2026 5.53.28 PM.csv,4,2026-05-13 17:53:24,0.004923251,1.303993,14.29447,0.005570658,0.9841396,0.09531157,-0.1495128,0.0912721,0.9745745,14.12458,-0.2949299,-0.9289474,-0.1400799,0.1745014,-0.2366311,1.199798,14.28754,-0.03617545,-0.7327825,-0.6186815,0.2809882
movementData__5.13.2026 5.53.28 PM.csv,4,2026-05-13 17:53:26,-4.998478,1.295548,14.38816,0.01435052,0.9737564,0.03278096,-0.2247617,-4.933383,0.9151537,14.25724,-0.1794309,-0.9196371,0.1027017,0.333953,-5.089359,1.321399,14.61456,-0.1381405,-0.2291157,-0.9596504,0.0865699
movementData__5.13.2026 5.53.28 PM.csv,4,2026-05-13 17:53:28,-10.21473,1.488417,11.15188,-0.008580671,0.9928045,0.07236633,-0.09502028,-10.19208,1.079967,11.02715,-0.1949223,-0.902119,0.1605341,0.3498793,-10.32191,1.23044,10.59109,-0.8098642,-0.4292802,0.3853543,0.1064923
