MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.43.04 PM.csv,1,2026-05-13 17:42:18,-0.03291193,1.55346,14.35738,-0.02450993,-0.9981441,-0.05278631,0.01791971,0.03229119,1.13999,14.18102,-0.1169686,-0.9751095,0.02975696,0.1859954,-0.2372665,1.162872,14.18415,0.02818678,-0.9943702,0.003830761,0.1020723
movementData__5.13.2026 5.43.04 PM.csv,1,2026-05-13 17:42:20,-3.428576,1.564961,18.16935,-0.009076083,-0.9901357,-0.09690035,-0.1007928,-3.357266,1.200381,17.969,-0.1057742,-0.9658721,-0.09900546,0.214711,-3.716135,1.474128,18.07511,0.02614008,-0.8159336,-0.5528739,0.1670319
movementData__5.13.2026 5.43.04 PM.csv,1,2026-05-13 17:42:22,5.250871,1.549795,17.48735,0.01452133,-0.9839808,-0.1269035,-0.1243639,5.319934,1.207691,17.29184,-0.1648263,-0.9325407,-0.1311474,0.2932584,5.01685,1.489716,17.58266,-0.06388354,-0.5038507,-0.847196,0.1559238
movementData__5.13.2026 5.43.04 PM.csv,1,2026-05-13 17:42:24,7.23122,1.573496,14.5835,0.01775734,-0.9930269,-0.1076259,0.04470901,7.391128,1.256673,14.46564,-0.1618429,-0.8813753,-0.2974927,0.3293669,7.219706,1.289587,14.47942,-0.4066003,-0.6431879,-0.2859766,-0.5824113
movementData__5.13.2026 5.43.04 PM.csv,1,2026-05-13 17:42:26,5.157383,1.568537,17.15915,-0.01719822,-0.9955711,-0.08389588,0.03877991,5.264567,1.227053,16.99397,-0.2337527,-0.9268593,-0.169098,0.2402028,5.048453,1.257389,16.94121,0.02851886,-0.9883511,-0.1465322,-0.02961662
movementData__5.13.2026 5.43.04 PM.csv,2,2026-05-13 17:42:29,-0.0783332,1.554998,14.4107,-0.01855878,-0.9986295,-0.04630144,0.0158389,0.01087706,1.190156,14.23636,-0.1775759,-0.9628859,-0.07774702,0.1878113,-0.1950539,1.203359,14.21801,0.02181811,-0.9954374,-0.08499537,-0.03747175
movementData__5.13.2026 5.43.04 PM.csv,2,2026-05-13 17:42:31,1.371954,1.55956,19.81509,-0.009489259,-0.9891573,-0.05074894,0.137486,1.429407,1.198425,19.62531,-0.1333307,-0.9126861,-0.1175324,0.3679853,1.090653,1.516427,19.87976,-0.1434303,-0.6247109,-0.7002861,0.3142664
movementData__5.13.2026 5.43.04 PM.csv,2,2026-05-13 17:42:33,-5.00731,1.558217,13.6841,-0.01261703,-0.9772479,-0.05795081,-0.2036395,-4.911355,1.221119,13.57266,-0.08260533,-0.9292278,-0.2282493,0.2785934,-5.072253,1.206064,13.50003,-0.4898982,-0.5501279,-0.1173162,-0.66603
movementData__5.13.2026 5.43.04 PM.csv,2,2026-05-13 17:42:35,-3.204859,1.564258,18.21955,-0.05149288,-0.9832093,-0.08560461,-0.1527087,-3.033552,1.282508,18.04964,-0.1176308,-0.9402103,-0.3044422,0.09737892,-3.426688,1.31372,17.98086,-0.1874086,-0.8727837,-0.3771234,-0.2467886
movementData__5.13.2026 5.43.04 PM.csv,3,2026-05-13 17:42:40,-0.222243,1.538442,14.42252,-0.08524168,-0.8649926,-0.01297806,0.4943211,0.01642457,1.229491,14.22914,-0.1543226,-0.9599964,-0.1181997,0.2015448,-0.4809693,1.253834,14.30198,0.04979243,-0.8891042,-0.1657594,0.4237196
