MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 8.05.01 PM.csv,1,2026-05-13 20:04:26,-0.05499078,1.496465,14.24465,0.003191173,-0.9942897,-0.08360139,-0.06624706,0.1739208,1.11932,14.07287,0.008277216,-0.9687402,-0.1429849,-0.2025567,-0.2557096,1.189521,14.01904,0.05298452,-0.9760883,-0.1993302,0.06864133
movementData__5.13.2026 8.05.01 PM.csv,1,2026-05-13 20:04:28,-12.04513,1.498202,11.1334,-0.004617846,-0.9948916,-0.06102493,-0.08028279,-11.82232,1.165257,10.89699,-0.0002235845,-0.958518,-0.201775,-0.2013209,-12.24255,1.817843,11.28702,0.03417661,-0.4883955,-0.8692012,0.06921785
movementData__5.13.2026 8.05.01 PM.csv,1,2026-05-13 20:04:30,-14.53227,1.511561,11.15033,0.01932708,-0.97026,-0.1227078,-0.2077617,-14.26618,1.145867,10.97169,0.010226,-0.9666319,-0.1148536,-0.2287509,-14.72785,1.822428,10.8914,0.03949601,-0.8180938,-0.5601494,0.1240776
movementData__5.13.2026 8.05.01 PM.csv,1,2026-05-13 20:04:32,-17.97841,1.494692,11.14966,0.02318114,-0.9552476,-0.0782572,-0.2843245,-17.72388,1.114868,11.03802,-0.03596896,-0.9463437,-0.06954214,-0.3135345,-18.0689,1.180136,10.87824,0.0728902,-0.9790923,-0.1414223,-0.1267478
movementData__5.13.2026 8.05.01 PM.csv,2,2026-05-13 20:04:36,-0.0627689,1.490798,14.24732,0.02793505,-0.9848287,-0.08195319,-0.1503852,0.219291,1.107192,14.14172,0.007598356,-0.9540297,-0.1305754,-0.2696661,-0.1840871,1.17328,13.97828,0.0740457,-0.9814715,-0.1724822,-0.03848239
movementData__5.13.2026 8.05.01 PM.csv,2,2026-05-13 20:04:39,-10.01408,1.488333,11.16105,0.02257745,-0.985053,-0.06372407,-0.1584302,-9.760236,1.153407,10.9788,0.04660506,-0.9583949,-0.2020267,-0.1961949,-10.18996,1.789444,11.25011,0.06427926,-0.5410663,-0.8381385,-0.02528553
movementData__5.13.2026 8.05.01 PM.csv,2,2026-05-13 20:04:41,-16.96624,1.498365,12.26144,0.01737286,-0.8479192,-0.06951433,-0.5252609,-16.69156,1.073725,12.13487,0.05552159,-0.9273263,-0.06713367,-0.363973,-16.90755,1.52389,11.88003,-0.02874391,-0.8365583,-0.3132547,-0.4485705
movementData__5.13.2026 8.05.01 PM.csv,2,2026-05-13 20:04:43,-12.09315,1.467601,12.94573,0.02365689,-0.9243762,0.05478513,-0.3767861,-11.85222,1.137123,12.91271,0.03525514,-0.9199489,-0.1708748,-0.351074,-12.10182,1.125192,12.69383,0.05265476,-0.9429658,-0.01737142,-0.3282396
movementData__5.13.2026 8.05.01 PM.csv,3,2026-05-13 20:04:47,-0.07653381,1.479077,14.23355,0.01964614,-0.9958062,-0.03040204,-0.08402202,0.1712029,1.137323,14.09892,0.03716923,-0.9585111,-0.1967938,-0.202848,-0.1986135,1.160212,13.9893,0.02472057,-0.9887855,-0.1471698,-0.005765059
movementData__5.13.2026 8.05.01 PM.csv,3,2026-05-13 20:04:49,-8.330276,1.484308,11.1654,0.007020342,-0.9891102,-0.04054221,-0.1413087,-8.082908,1.16547,10.97853,0.06400876,-0.9493638,-0.2221087,-0.2127887,-8.571454,1.801102,11.12196,0.09382666,-0.6762642,-0.7293798,0.04322642
movementData__5.13.2026 8.05.01 PM.csv,3,2026-05-13 20:04:51,-11.45603,1.493195,11.14308,0.01684808,-0.9529848,-0.03925639,-0.2999919,-11.18214,1.112154,11.04995,0.05726215,-0.9368715,-0.1418725,-0.3144282,-11.49406,1.215405,10.79656,0.05141963,-0.9597523,-0.1838611,-0.2059774
movementData__5.13.2026 8.05.01 PM.csv,4,2026-05-13 20:04:56,-0.05209048,1.486,14.26559,0.02630394,-0.9640018,-0.04964091,-0.2598932,0.2074903,1.127442,14.18839,0.05346241,-0.9310619,-0.1862176,-0.3091738,-0.1285799,1.169369,13.97394,0.0713535,-0.9813775,-0.136595,-0.1146678
movementData__5.13.2026 8.05.01 PM.csv,4,2026-05-13 20:04:58,-9.308451,1.481034,11.16361,0.009674097,-0.9725091,-0.0303044,-0.2306817,-9.054132,1.14595,11.03986,0.08225492,-0.9367995,-0.2078943,-0.2691111,-9.545169,1.741403,11.10785,0.1725771,-0.6142669,-0.7694953,0.02775558
movementData__5.13.2026 8.05.01 PM.csv,4,2026-05-13 20:05:00,-17.04032,1.50004,11.12881,0.0004389564,-0.9039907,-0.1216731,-0.4098735,-16.86481,1.05216,11.1408,-0.09957667,-0.9322641,-0.1257513,-0.3242757,-16.69392,1.452879,10.54171,-0.1881119,-0.9634647,-0.0169622,-0.1899
