MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 8.05.17 PM.csv,1,2026-05-13 20:05:11,-0.07130206,1.489701,14.27452,0.009017328,-0.9931826,-0.0928047,-0.06995914,0.1547631,1.099715,14.10842,-0.03839668,-0.9736123,-0.1580313,-0.1600968,-0.215136,1.148901,14.01261,0.01819719,-0.9860548,-0.1648176,0.01413865
movementData__5.13.2026 8.05.17 PM.csv,1,2026-05-13 20:05:13,-8.304526,1.48926,11.20033,0.009010753,-0.9885154,-0.06418021,-0.1365172,-8.076848,1.13403,10.97589,0.02644602,-0.9665799,-0.1759332,-0.1845846,-8.50569,1.743562,11.41678,0.05253764,-0.3145764,-0.9407904,0.1148694
movementData__5.13.2026 8.05.17 PM.csv,1,2026-05-13 20:05:15,-12.06876,1.502624,19.06297,-0.01299449,-0.936268,-0.1343198,-0.3243324,-11.84471,1.11552,18.87062,0.006241672,-0.9468467,-0.1585097,-0.2798519,-12.45422,1.479144,19.1778,0.5377204,0.1386117,-0.8264464,0.09289727
movementData__5.13.2026 8.05.17 PM.csv,1,2026-05-13 20:05:17,-15.76844,1.509194,14.71966,0.06363462,-0.8889915,-0.09861949,-0.4426274,-15.49801,1.109648,14.63984,0.02495967,-0.9285654,-0.1361495,-0.344393,-15.82717,1.242837,14.33628,0.0958657,-0.9558821,-0.2694314,-0.0671254
